Grayish Pink (5R 8/2),0,0,#d5c0be
Moderate Pink (5R 7/4),0,1,#c5999b
Pale Red (5R 6/2),0,2,#9d8988
Light Red (5R 6/6),0,3,#b57478
Moderate Red (5R 5/4),0,4,#8b6366
Grayish Red (5R 4/2),0,5,#675354
Moderate Red (5R 4/6),1,0,#7e4046
Dusky Red (5R 3/4),1,1,#5d3438
Blackish Red (5R 2/2),1,2,#382829
Very Dark Red (5R 2/6),1,3,#481b25
Grayish Orange Pink (10R 8/2),1,4,#d9c3bd
Moderate Orange Pink (10R 7/4),1,5,#c79d8e
Pale Red (10R 6/2),2,0,#481b25
Moderate Reddish Orange (10R 6/6),2,1,#b67862
Pale Reddish Brown (10R 5/4),2,2,#8d655a
Grayish Red (10R 4/2),2,3,#67534e
Moderate Reddish Brown (10R 4/6),2,4,#7c4338
Dark Reddish Brown (10R 3/4),2,5,#593631
Very Dusky Red (10R 2/2),3,0,#382523
Moderate Orange Pink (5Y 8/4),3,1,#e4bb9a
Grayish Orange Pink (5YR 7/2),3,2,#bba697
Light Brown (5YR 6/4),3,3,#a9856b
Pale Brown (5YR 5/2),3,4,#7f6f64
Light Brown (5YR 5/6),3,5,#8a6952
Moderate Brown (5YR 4/4),4,0,#71503c
Grayish Brown (5Y 3/2),4,1,#4b3b30
Moderate Brown (5YR 3/4),4,2,#563b28
Dusky Brown (5YR 2/2),4,3,#372a21
Very Pale Orange (10YR 8/2),4,4,#d5c6a7
Pale Yellowish Orange (10YR 8/6),4,5,#e3bc71
Grayish Orange (10YR 7/4),5,0,#c2a373
Pale Yellowish Brown (10YR 6/2),5,1,#9a8d75
Dark Yellowish Orange (10YR 6/6),5,2,#aa8847
Moderate Yellowish Brown (10YR 5/4),5,3,#8f6b32
Dark Yellowish Brown (10YR 4/2),5,4,#6d5433
Dusky Yellowish Brown (10YR 2/2),5,5,#625746
Grayish Yellow (5Y 8/4),6,0,#d3c982
Yellowish Gray (5Y 7/2),6,1,#b2ad8b
Moderate Yellow (5Y 7/6),6,2,#baaa4d
Dusky Yellow (5Y 6/4),6,3,#958f70
Light Olive Gray (5Y 5/2),6,4,#7a7458
Light Olive Brown (5Y 5/6),6,5,#83742b
Moderate Olive Brown (5Y 4/4),7,0,#7f7440
Olive Gray (5Y 3/2),7,1,#454431
Pale Greenish Yellow (10Y 8/2),7,2,#cdcca2
Moderate Greenish Yellow (10Y 7/4),7,3,#afb066
Pale Olive (10Y 6/2),7,4,#939470
Dark Greenish Yellow (10Y 6/6),7,5,#949636
Light Olive (10Y 5/4),8,0,#77783d
Grayish Olive (10Y 4/2),8,1,#5b5c44
Grayish Yellow Green (5GY 7/2),8,2,#aab18c
Moderate Yellow Green (5GY 7/4),8,3,#a7b674
Dusky Yellow Green (5GY 5/2),8,4,#727a5e
Grayish Olive Green (5GY 3/2),8,5,#424737
Pale Yellowish Green (10GY 7/2),9,0,#a2b496
Moderate Yellowish Green (10GY 6/4),9,1,#81a16d
Grayish Green (10GY 5/2),9,2,#648057
Dark Yellowish Green (10GY 4/4),9,3,#4d6541
Dusky Yellowish Green (10GY 3/2),9,4,#384b30
Pale Green (5G 7/2),10,0,#aab18c
Light Green (5G 7/4),10,1,#a7b674
Brilliant Green (5G 6/6),10,2,#869d44
Moderate Yellow Green (5G 5/2),10,3,#727a5e
Moderate Green (5G 5/6),10,4,#6d8234
Dusky Green (5G 3/2),10,5,#424737
Very Pale Green (10G 8/2),11,0,#bbd4c0
